time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-18T11:27:07.551Z,-17.9676,-69.8301,138.56,4.7,mb,,80,0.477,0.82,us,us6000hlz1,2022-05-18T11:58:31.900Z,"25 km SSE of Palca, Peru",earthquake,5.2,4.9,0.084,47,reviewed,us,us
2022-05-18T10:52:01.141Z,-6.0616,150.8764,36.93,4.7,mb,,130,2.257,0.49,us,us6000hlyx,2022-05-18T11:21:38.040Z,"99 km SE of Kimbe, Papua New Guinea",earthquake,13.3,7.5,0.085,46,reviewed,us,us
2022-05-18T07:46:57.869Z,36.9558,71.1695,99.63,4.7,mb,,74,2.412,1.27,us,us6000hly9,2022-05-18T08:15:01.040Z,"31 km ENE of Jurm, Afghanistan",earthquake,7.6,7,0.052,111,reviewed,us,us
2022-05-18T06:27:55.176Z,51.1188,178.7361,17.58,5.8,mww,,95,0.44,1.1,us,us6000hlxv,2022-05-18T18:24:12.684Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,4.3,3.1,0.06,27,reviewed,us,us
2022-05-18T04:29:27.034Z,11.919,143.3108,10,5,mb,,144,2.25,0.71,us,us6000hlxk,2022-05-18T16:39:30.933Z,"209 km SW of Merizo Village, Guam",earthquake,11.3,1.6,0.041,192,reviewed,us,us
2022-05-18T03:52:25.208Z,33.3383,141.3833,12.97,5.6,mww,,67,1.334,0.81,us,us6000hlxg,2022-05-18T05:58:44.693Z,"223 km SSE of Katsuura, Japan",earthquake,7.8,3.9,0.06,27,reviewed,us,us
2022-05-18T03:25:43.869Z,11.8371,143.3918,10,5.4,mww,,55,2.26,1.02,us,us6000hlxe,2022-05-18T15:35:57.676Z,"210 km SW of Merizo Village, Guam",earthquake,8.6,1.9,0.098,10,reviewed,us,us
2022-05-18T01:38:36.406Z,12.3941,123.5664,10,4.6,mb,,109,13.372,0.62,us,us6000hlx9,2022-05-18T02:34:51.040Z,"1 km S of Bulo, Philippines",earthquake,11.6,1.9,0.062,77,reviewed,us,us
2022-05-17T21:26:20.037Z,-8.5107,128.2466,10,5,mb,,61,4.119,1.1,us,us6000hlvk,2022-05-17T22:15:02.040Z,"137 km E of Lospalos, Timor Leste",earthquake,4.7,1.8,0.061,86,reviewed,us,us
2022-05-17T21:17:18.626Z,41.0054,143.061,27.59,5.2,mww,,62,1.011,0.7,us,us6000hlvf,2022-05-17T22:06:12.965Z,"143 km ENE of Hachinohe, Japan",earthquake,7.1,3.9,0.089,12,reviewed,us,us
